C_R1,C_R2,C_Muscular_Fatigue,C_Sleep_Fatigue,C_X,C_Y,Exploit_Explore,A_num,Act,Instant_reward,Future_reward,Discounted_sum_of_rewards,NS_r1,NS_r2,NS_mf,NS_sf,NS_x,NS_y,Instant_Drive,Discounted_deviation,PNS_r1,PNS_r2,PNS_mf,PNS_sf,PNS_x,PNS_y,Loss_J,Loss_f
-0.45963994,-0.9192799,0.10242658,0.10060166,3.1999989,2.0,exploit,0,walking_right,3.401132583618164,tensor(-2.2015e-05),tensor(3.4011),-0.48665795,-0.9733159,0.102631435,0.10065196,3.2999988,2.0,3.324418783187866,0.008089573,-0.51942503,-1.0519227,0.10161838,-0.036025092,3.3585248,1.954588,10.996702,0.031421892
-0.48665795,-0.9733159,0.102631435,0.10065196,3.2999988,2.0,exploit,0,walking_right,3.449049949645996,tensor(6.0467e-05),tensor(3.4491),-0.51232505,-1.0246501,0.1028367,0.100702286,3.3999987,2.0,3.3818094730377197,0.008173957,-0.5498718,-1.038826,0.13758206,0.02087602,3.457185,1.9704862,11.383901,0.013331534
-0.51232505,-1.0246501,0.1028367,0.100702286,3.3999987,2.0,explore,1,walking_left,3.4807498455047607,tensor(0.0002),tensor(3.4809),-0.5367088,-1.0734175,0.10304237,0.10075264,3.2999988,2.0,3.436331033706665,0.008690257,-0.5054901,-1.0999451,0.082600646,0.1384491,3.5899062,2.0032096,11.751486,0.087573834
-0.5367088,-1.0734175,0.10304237,0.10075264,3.2999988,2.0,exploit,0,walking_right,3.5328943729400635,tensor(0.0002),tensor(3.5331),-0.55987334,-1.1197467,0.103248455,0.10080301,3.3999987,2.0,3.488126277923584,0.0086201355,-0.6308541,-1.1656213,0.15061742,0.17017008,3.4170709,1.986573,12.103728,0.014670106
-0.55987334,-1.1197467,0.103248455,0.10080301,3.3999987,2.0,exploit,0,walking_right,3.565891742706299,tensor(0.0003),tensor(3.5661),-0.5818797,-1.1637594,0.103454955,0.10085341,3.4999986,2.0,3.5373318195343018,0.008897302,-0.6000054,-1.1469697,0.17560795,0.028646499,3.5632737,2.0817776,12.450696,0.021721637
-0.5818797,-1.1637594,0.103454955,0.10085341,3.4999986,2.0,exploit,0,walking_right,3.6005125045776367,tensor(0.0003),tensor(3.6008),-0.6027857,-1.2055714,0.103661865,0.10090384,3.5999985,2.0,3.5840773582458496,0.008984997,-0.60859275,-1.182624,0.12843716,0.15525779,3.5287335,2.119468,12.780543,0.023479769
-0.6027857,-1.2055714,0.103661865,0.10090384,3.5999985,2.0,explore,0,walking_right,3.605976104736328,tensor(8.0100e-05),tensor(3.6061),-0.62264645,-1.2452929,0.10386919,0.100954294,3.6999984,2.0,3.628485679626465,0.008940702,-0.6923068,-1.266424,0.12486631,0.15973902,3.5556302,2.1082563,13.101348,0.041757215
-0.62264645,-1.2452929,0.10386919,0.100954294,3.6999984,2.0,exploit,0,walking_right,3.668260097503662,tensor(0.0003),tensor(3.6685),-0.6415141,-1.2830282,0.10407693,0.10100477,3.7999983,2.0,3.670673370361328,0.0091868425,-0.66887206,-1.2180195,0.17842844,0.10147395,3.6959317,2.022249,13.406476,0.02182784
-0.6415141,-1.2830282,0.10407693,0.10100477,3.7999983,2.0,exploit,0,walking_right,3.7030248641967773,tensor(0.0002),tensor(3.7033),-0.65943843,-1.3188769,0.10428508,0.10105527,3.8999982,2.0,3.71075177192688,0.009311625,-0.66368544,-1.3227975,0.1318215,0.1659342,3.808967,2.021111,13.699063,0.01373327
-0.65943843,-1.3188769,0.10428508,0.10105527,3.8999982,2.0,exploit,0,walking_right,3.7366561889648438,tensor(0.0002),tensor(3.7369),-0.6764665,-1.352933,0.104493655,0.1011058,3.999998,2.0,3.748826265335083,0.00938297,-0.6191292,-1.3829472,0.09672597,0.11361728,3.9105613,1.9584967,13.983328,0.014126755
-0.6764665,-1.352933,0.104493655,0.1011058,3.999998,2.0,exploit,0,walking_right,3.7687039375305176,tensor(0.0002),tensor(3.7689),-0.6926432,-1.3852865,0.104702644,0.101156354,4.099998,2.0,3.7849972248077393,0.009506183,-0.58224785,-1.387474,0.006192811,0.12155398,4.0310116,1.9855231,14.255027,0.02728088
-0.6926432,-1.3852865,0.104702644,0.101156354,4.099998,2.0,explore,0,walking_right,3.771669864654541,tensor(-2.8382e-05),tensor(3.7716),-0.7080111,-1.4160222,0.10491205,0.10120693,4.199998,2.0,3.8193600177764893,0.009520245,-0.6184155,-1.4157652,0.016555674,0.02575498,4.1250305,1.9911474,14.515914,0.027225763
-0.7080111,-1.4160222,0.10491205,0.10120693,4.199998,2.0,exploit,0,walking_right,3.8332035541534424,tensor(0.0001),tensor(3.8333),-0.72261053,-1.4452211,0.10512187,0.10125753,4.299998,2.0,3.852004051208496,0.009648501,-0.6863971,-1.4013542,0.05883185,0.10382466,4.3155613,1.8437084,14.763316,0.03005436
-0.72261053,-1.4452211,0.10512187,0.10125753,4.299998,2.0,exploit,0,walking_right,3.866666793823242,tensor(0.0001),tensor(3.8668),-0.73648,-1.47296,0.105332114,0.10130816,4.3999977,2.0,3.8830161094665527,0.009535825,-0.63954985,-1.4516207,0.029039942,0.06984194,4.300648,2.0205941,15.005028,0.026955878
-0.73648,-1.47296,0.105332114,0.10130816,4.3999977,2.0,exploit,0,walking_right,3.901777505874634,tensor(9.6234e-05),tensor(3.9019),-0.749656,-1.499312,0.10554278,0.101358816,4.4999976,2.0,3.912477493286133,0.009448576,-0.78002536,-1.5844212,0.06517516,0.23810121,4.4838424,2.045704,15.231789,0.030843724
-0.749656,-1.499312,0.10554278,0.101358816,4.4999976,2.0,explore,3,walking_down,3.934178352355957,tensor(3.6843e-05),tensor(3.9342),-0.76217324,-1.5243465,0.10575386,0.101409495,4.4999976,1.9,3.9404659271240234,0.009562481,-0.8487973,-1.4281707,0.057655107,0.07075196,4.5726647,1.8884304,15.452871,0.025421254
-0.76217324,-1.5243465,0.10575386,0.101409495,4.4999976,1.9,explore,2,walking_up,3.974402666091919,tensor(0.0001),tensor(3.9745),-0.7740646,-1.5481292,0.10596537,0.101460196,4.4999976,2.0,3.967054843902588,0.009604129,-0.82029134,-1.5767773,0.114817604,0.1614556,4.5469084,1.9168819,15.661623,0.015744673
-0.7740646,-1.5481292,0.10596537,0.101460196,4.4999976,2.0,exploit,0,walking_right,3.977823257446289,tensor(4.9871e-05),tensor(3.9779),-0.78536135,-1.5707227,0.1061773,0.10151093,4.5999975,2.0,3.992314577102661,0.009659068,-0.88898426,-1.5855119,0.1548659,0.1403062,4.598653,1.9817497,15.860636,0.015166966
-0.78536135,-1.5707227,0.1061773,0.10151093,4.5999975,2.0,exploit,0,walking_right,3.9944353103637695,tensor(3.5744e-05),tensor(3.9945),-0.7960933,-1.5921866,0.10638966,0.10156168,4.6999974,2.0,4.016311168670654,0.0097357165,-0.8220175,-1.5334615,0.13316151,0.07956108,4.669647,2.0391386,16.05276,0.0077744243
-0.7960933,-1.5921866,0.10638966,0.10156168,4.6999974,2.0,explore,8,going_to_resource_0,4.024819374084473,tensor(2.3316e-05),tensor(4.0248),0.018827276,0.037654553,0.117026746,0.10401029,0.5,4.25,2.194196939468384,0.009802862,-0.8003335,-1.5829804,0.13056584,0.18971261,4.6799455,2.0568898,4.7714925,2558.6687
0.018827276,0.037654553,0.117026746,0.10401029,0.5,4.25,explore,0,walking_right,2.166001081466675,tensor(-6.5055e-05),tensor(2.1659),-0.03211409,-0.06422818,0.1172608,0.1040623,0.6,4.25,2.308093786239624,0.009734226,0.084078416,0.028747588,0.10162823,0.024818808,0.5574231,4.3285375,5.2828493,0.036650024
-0.03211409,-0.06422818,0.1172608,0.1040623,0.6,4.25,exploit,1,walking_left,2.2963290214538574,tensor(3.5441e-05),tensor(2.2964),-0.08050838,-0.16101676,0.11749532,0.10411433,0.5,4.25,2.416297197341919,0.009750531,-0.07268098,0.041808665,0.06988809,-0.009223551,0.6480345,4.401718,5.7915053,0.10124395
-0.08050838,-0.16101676,0.11749532,0.10411433,0.5,4.25,exploit,1,walking_left,2.419299364089966,tensor(5.6540e-05),tensor(2.4194),-0.12648296,-0.25296593,0.11773031,0.10416639,0.4,4.25,2.5190908908843994,0.009785473,-0.07468886,-0.17326808,0.053186998,0.13124204,0.49159148,4.4354525,6.296795,0.056714922
-0.12648296,-0.25296593,0.11773031,0.10416639,0.4,4.25,exploit,1,walking_left,2.538595199584961,tensor(6.8861e-05),tensor(2.5387),-0.17015882,-0.34031764,0.11796577,0.10421847,0.3,4.25,2.616745710372925,0.009861053,-0.117214754,-0.19296436,0.10000391,0.1495758,0.27793145,4.3689156,6.7966137,0.041523907
-0.17015882,-0.34031764,0.11796577,0.10421847,0.3,4.25,exploit,1,walking_left,2.661226272583008,tensor(7.6933e-05),tensor(2.6613),-0.21165088,-0.42330176,0.1182017,0.10427058,0.20000002,4.25,2.7095181941986084,0.009704039,-0.08848381,-0.34203708,0.045529753,0.06578498,0.31117254,4.4170403,7.2890425,0.06879824
-0.21165088,-0.42330176,0.1182017,0.10427058,0.20000002,4.25,exploit,1,walking_left,2.776010274887085,tensor(8.2139e-05),tensor(2.7761),-0.25106832,-0.50213665,0.11843811,0.10432271,0.10000002,4.25,2.7976527214050293,0.0098102465,-0.14668739,-0.50191486,0.04353127,0.05508873,0.22213799,4.35032,7.7725177,0.043912206
-0.25106832,-0.50213665,0.11843811,0.10432271,0.10000002,4.25,exploit,3,walking_down,2.8857617378234863,tensor(8.8364e-05),tensor(2.8859),-0.2885149,-0.5770298,0.118674986,0.10437487,0.10000002,4.15,2.881380319595337,0.009831064,-0.10541931,-0.67699015,0.057635225,0.10634767,-0.02105704,4.39153,8.245618,0.120237336
-0.2885149,-0.5770298,0.118674986,0.10437487,0.10000002,4.15,explore,3,walking_down,2.9415011405944824,tensor(5.9814e-05),tensor(2.9416),-0.32408917,-0.64817834,0.11891234,0.104427055,0.10000002,4.05,2.9609224796295166,0.009860106,-0.32780164,-0.6598744,0.19315517,0.09732069,-0.061014034,4.222465,8.708395,0.061382726
-0.32408917,-0.64817834,0.11891234,0.104427055,0.10000002,4.05,exploit,3,walking_down,3.0671637058258057,tensor(7.6353e-05),tensor(3.0672),-0.3578847,-0.7157694,0.11915016,0.10447927,0.10000002,3.9500003,3.036487102508545,0.009839742,-0.33558288,-0.68658704,0.14048688,0.13176705,0.031632088,4.0804944,9.160818,0.024251752
-0.3578847,-0.7157694,0.11915016,0.10447927,0.10000002,3.9500003,explore,2,walking_up,3.142346143722534,tensor(7.3784e-05),tensor(3.1424),-0.38999048,-0.77998096,0.11938846,0.104531504,0.10000002,4.05,3.108273983001709,0.009860269,-0.313475,-0.8527839,0.109351784,0.17756549,-0.0109644905,3.8723428,9.600075,0.060464844
-0.38999048,-0.77998096,0.11938846,0.104531504,0.10000002,4.05,explore,9,going_to_resource_1,3.2238755226135254,tensor(5.4153e-05),tensor(3.2239),0.07285526,0.14571051,0.12998025,0.106776565,3.5,1.5,2.073399782180786,0.009828001,-0.31718546,-0.8791543,0.16407925,0.21149161,-0.05302436,4.1354504,4.2583156,2078.4187
0.07285526,0.14571051,0.12998025,0.106776565,3.5,1.5,exploit,7,consuming_resource_1,2.033911943435669,tensor(4.2381e-05),tensor(2.0340),0.019212496,0.25299603,0.1289404,0.106829956,3.5,1.5,2.0037384033203125,0.009837047,0.08117027,0.24767873,0.15475693,0.20619561,3.4073486,1.560429,3.9756958,0.026643004
0.019212496,0.25299603,0.1289404,0.106829956,3.5,1.5,exploit,7,consuming_resource_1,1.9612717628479004,tensor(3.6230e-05),tensor(1.9613),-0.03174813,0.36564583,0.12790889,0.10688337,3.5,1.5,1.9330332279205322,0.009836021,0.0293218,0.26007524,0.11205651,0.11516975,3.3922327,1.6557602,3.6989133,0.05106968
-0.03174813,0.36564583,0.12790889,0.10688337,3.5,1.5,explore,3,walking_down,1.8911716938018799,tensor(3.9485e-05),tensor(1.8912),-0.08016072,0.24736354,0.12816471,0.10693681,3.5,1.4,2.059000015258789,0.0098603675,-0.03153865,0.4605773,0.14112726,0.088568166,3.430298,1.5350909,4.1989455,0.071437575
-0.08016072,0.24736354,0.12816471,0.10693681,3.5,1.4,exploit,9,going_to_resource_1,1.998658537864685,tensor(3.2322e-05),tensor(1.9987),0.8749781,2.1377583,0.12842129,0.10699029,3.5,1.5,0.18870030343532562,0.009906064,-0.026991397,0.30640954,0.14775819,0.11793775,3.352735,1.4019945,0.031966332,419.9173
0.8749781,2.1377583,0.12842129,0.10699029,3.5,1.5,explore,5,doing_nothing,0.23569485545158386,tensor(-2.8242e-05),tensor(0.2357),0.7812292,1.9308703,0.12739392,0.10704379,3.5,1.5,0.23160220682621002,0.009764201,0.8151773,2.2148993,0.14395678,0.065384,3.4367251,1.5463413,0.049184386,0.08998605
0.7812292,1.9308703,0.12739392,0.10704379,3.5,1.5,explore,5,doing_nothing,0.20942991971969604,tensor(-3.5322e-05),tensor(0.2094),0.69216776,1.7343268,0.12637477,0.10709731,3.5,1.5,0.40785157680511475,0.009927419,0.8911094,1.9621348,0.1560099,0.17885739,3.3233657,1.5253631,0.1583196,0.12934497
0.69216776,1.7343268,0.12637477,0.10709731,3.5,1.5,exploit,7,consuming_resource_1,0.3307082951068878,tensor(-5.1990e-05),tensor(0.3307),0.6075594,1.9210432,0.12536377,0.10715086,3.5,1.5,0.4015517830848694,0.009911575,0.7028475,1.9732393,0.00027024746,0.07428451,3.46185,1.6189418,0.15328337,0.04413542
0.6075594,1.9210432,0.12536377,0.10715086,3.5,1.5,exploit,3,walking_down,0.3976380527019501,tensor(-6.5967e-05),tensor(0.3976),0.5271814,1.724991,0.1256145,0.10720444,3.5,1.4,0.5478935837745667,0.009910511,0.5774563,2.0562081,0.17126557,0.2098329,3.4542933,1.5948936,0.2892181,0.16492163
0.5271814,1.724991,0.1256145,0.10720444,3.5,1.4,exploit,9,going_to_resource_1,0.4361766278743744,tensor(-7.2434e-05),tensor(0.4361),1.4526998,3.543321,0.12586598,0.10725805,3.5,1.5,1.608656644821167,0.009916278,0.6507077,1.9791679,0.07665709,0.04569491,3.3007247,1.4910772,2.5560367,313.57675
1.4526998,3.543321,0.12586598,0.10725805,3.5,1.5,exploit,5,doing_nothing,1.8036282062530518,tensor(-0.0001),tensor(1.8035),1.3300648,3.2661548,0.12485905,0.10731168,3.5,1.5,1.308850884437561,0.009932246,1.398064,3.749258,0.050814435,0.009575203,3.4707875,1.5933524,1.6869898,0.26261574
1.3300648,3.2661548,0.12485905,0.10731168,3.5,1.5,exploit,5,doing_nothing,1.5359394550323486,tensor(-0.0001),tensor(1.5358),1.2135615,3.002847,0.12386018,0.10736534,3.5,1.5,1.0258219242095947,0.009849959,1.4081692,3.4795694,0.15155448,0.019012362,3.306627,1.514712,1.0319971,0.3113192
1.2135615,3.002847,0.12386018,0.10736534,3.5,1.5,exploit,5,doing_nothing,1.277662992477417,tensor(-0.0001),tensor(1.2775),1.1028835,2.7527046,0.1228693,0.10741902,3.5,1.5,0.7603612542152405,0.009811227,1.115986,3.2724147,0.1111206,0.13323623,3.3595731,1.552966,0.5629233,0.2935999
1.1028835,2.7527046,0.1228693,0.10741902,3.5,1.5,exploit,5,doing_nothing,1.0315953493118286,tensor(-0.0001),tensor(1.0315),0.9977393,2.5150695,0.12188634,0.10747273,3.5,1.5,0.5160442590713501,0.009910946,1.0634584,2.8677342,0.11025487,0.2937263,3.3287315,1.4628904,0.25614095,0.1942271
0.9977393,2.5150695,0.12188634,0.10747273,3.5,1.5,exploit,5,doing_nothing,0.8004329204559326,tensor(-0.0001),tensor(0.8003),0.89785236,2.289316,0.120911255,0.107526466,3.5,1.5,0.3084442615509033,0.009916667,0.9572723,2.6329134,0.20833457,-0.00025417656,3.4325933,1.4477948,0.08900983,0.14811845
0.89785236,2.289316,0.120911255,0.107526466,3.5,1.5,exploit,5,doing_nothing,0.5913258194923401,tensor(-0.0001),tensor(0.5912),0.80295974,2.07485,0.11994397,0.10758023,3.5,1.5,0.21313703060150146,0.0099570835,0.90808547,2.5875096,0.10215905,-0.026474461,3.5183804,1.5825273,0.04121074,0.29930678
0.80295974,2.07485,0.11994397,0.10758023,3.5,1.5,exploit,5,doing_nothing,0.41334620118141174,tensor(-0.0001),tensor(0.4132),0.71281177,1.8711076,0.118984416,0.10763402,3.5,1.5,0.31637057662010193,0.009888737,0.7724102,2.1967072,0.18345699,0.10402696,3.5195413,1.4018738,0.09391531,0.123747446
0.71281177,1.8711076,0.118984416,0.10763402,3.5,1.5,explore,1,walking_left,0.2844724953174591,tensor(-0.0001),tensor(0.2844),0.62717116,1.6775522,0.11922239,0.10768784,3.4,1.5,0.4939371645450592,0.009913679,0.7731875,2.1191306,0.008367524,0.12795025,3.2991562,1.6404312,0.23419957,0.258902
0.62717116,1.6775522,0.11922239,0.10768784,3.4,1.5,exploit,9,going_to_resource_1,0.2676580250263214,tensor(-0.0002),tensor(0.2675),1.5478132,3.498196,0.119461074,0.10774169,3.5,1.5,1.5955219268798828,0.009846989,0.72789097,2.0611537,0.1562315,0.054556705,3.2327354,1.5634232,2.5140038,281.69965
1.5478132,3.498196,0.119461074,0.10774169,3.5,1.5,explore,7,consuming_resource_1,1.9390697479248047,tensor(-0.0002),tensor(1.9389),1.4204226,3.7731056,0.11850539,0.10779556,3.5,1.5,1.8225418329238892,0.009901266,1.4698553,3.8964314,-0.05387588,-0.026059814,3.3084002,1.6151924,3.2846978,0.115265206
1.4204226,3.7731056,0.11850539,0.10779556,3.5,1.5,exploit,5,doing_nothing,2.181417465209961,tensor(-0.0002),tensor(2.1812),1.2994014,3.4844503,0.11755735,0.10784946,3.5,1.5,1.514672875404358,0.009880224,1.4309987,4.048231,0.029302843,0.25550255,3.4071274,1.4353534,2.2638657,0.37756142
1.2994014,3.4844503,0.11755735,0.10784946,3.5,1.5,exploit,5,doing_nothing,1.915379524230957,tensor(-0.0002),tensor(1.9152),1.1844313,3.2102277,0.11661689,0.10790338,3.5,1.5,1.2246085405349731,0.009902861,1.4145443,3.6928444,0.050722927,0.14701799,3.4323187,1.4585156,1.4750084,0.29804453
1.1844313,3.2102277,0.11661689,0.10790338,3.5,1.5,explore,7,consuming_resource_1,1.696587085723877,tensor(-0.0003),tensor(1.6963),1.0752097,3.4707391,0.11568396,0.10795733,3.5,1.5,1.4730002880096436,0.009924023,1.3099245,3.7121518,0.06363016,0.07098064,3.4137712,1.5271575,2.1397896,0.1256209
1.0752097,3.4707391,0.11568396,0.10795733,3.5,1.5,exploit,5,doing_nothing,1.9188979864120483,tensor(-0.0002),tensor(1.9187),0.97144926,3.1972022,0.114758484,0.10801131,3.5,1.5,1.1979600191116333,0.00992358,1.1458112,3.8061497,0.101022646,0.12129837,3.6122556,1.4510972,1.4109942,0.41657716
0.97144926,3.1972022,0.114758484,0.10801131,3.5,1.5,explore,2,walking_up,1.6307601928710938,tensor(-0.0003),tensor(1.6305),0.87287676,2.9373422,0.114988,0.10806532,3.5,1.6,0.9464516043663025,0.009929791,1.0961163,3.6678815,0.13781895,0.19221203,3.5693192,1.5509658,0.8767165,0.598335
0.87287676,2.9373422,0.114988,0.10806532,3.5,1.6,exploit,5,doing_nothing,1.5094369649887085,tensor(-0.0003),tensor(1.5091),0.7792329,2.690475,0.1140681,0.10811935,3.5,1.6,0.725598931312561,0.009897543,1.0344731,3.4614654,0.13037546,0.09442068,3.5389473,1.7585655,0.5117565,0.6866872
0.7792329,2.690475,0.1140681,0.10811935,3.5,1.6,exploit,5,doing_nothing,1.2748459577560425,tensor(-0.0003),tensor(1.2745),0.69027126,2.4559512,0.11315555,0.108173415,3.5,1.6,0.5521081686019897,0.009889589,0.88476956,3.189011,0.06244725,0.051996708,3.5336168,1.5995601,0.2936448,0.58206385
0.69027126,2.4559512,0.11315555,0.108173415,3.5,1.6,exploit,5,doing_nothing,1.051724910736084,tensor(-0.0003),tensor(1.0514),0.6057577,2.2331536,0.112250306,0.1082275,3.5,1.6,0.4591160714626312,0.009864438,0.9504924,2.8891335,0.11115593,0.012059979,3.5026073,1.4833887,0.20161112,0.572006
0.6057577,2.2331536,0.112250306,0.1082275,3.5,1.6,exploit,5,doing_nothing,0.8427218198776245,tensor(-0.0003),tensor(0.8424),0.52546984,2.0214958,0.1113523,0.10828161,3.5,1.6,0.4760681986808777,0.009881364,0.71264863,2.648591,0.16175723,0.03582011,3.4787638,1.5812533,0.21709034,0.43687803
0.52546984,2.0214958,0.1113523,0.10828161,3.5,1.6,exploit,5,doing_nothing,0.6554863452911377,tensor(-0.0003),tensor(0.6552),0.44919634,1.820421,0.11046148,0.108335756,3.5,1.6,0.5802010297775269,0.009943575,0.6384429,2.4646742,0.052301563,0.03978905,3.7072706,1.5726796,0.3249824,0.5026653
0.44919634,1.820421,0.11046148,0.108335756,3.5,1.6,exploit,5,doing_nothing,0.5004922151565552,tensor(-0.0003),tensor(0.5002),0.37673652,1.6293999,0.10957779,0.10838992,3.5,1.6,0.7258111238479614,0.00992835,0.6743843,2.3076675,0.16045642,0.11045498,3.4430714,1.6344063,0.5117805,0.5556587
0.37673652,1.6293999,0.10957779,0.10838992,3.5,1.6,explore,9,going_to_resource_1,0.40580904483795166,tensor(-0.0003),tensor(0.4055),1.3095922,3.4523919,0.109797165,0.108444124,3.5,1.5,1.4853583574295044,0.009933827,0.7219099,2.3377466,0.10278295,0.017010681,3.3323188,1.6560647,2.1761494,164.86871
1.3095922,3.4523919,0.109797165,0.108444124,3.5,1.5,exploit,5,doing_nothing,2.010279417037964,tensor(-0.0003),tensor(2.0100),1.1941127,3.1797724,0.108918786,0.10849835,3.5,1.5,1.1960529088974,0.00990989,1.5433328,3.935431,0.007840514,0.08679388,3.3944716,1.5053893,1.4063438,0.7148278
1.1941127,3.1797724,0.108918786,0.10849835,3.5,1.5,explore,3,walking_down,1.7438085079193115,tensor(-0.0003),tensor(1.7435),1.084407,2.9207838,0.109136626,0.1085526,3.5,1.4,0.9251850247383118,0.009895768,1.3270239,3.824735,-0.0153368935,0.11573942,3.6196828,1.5075573,0.83749723,0.9174285
1.084407,2.9207838,0.109136626,0.1085526,3.5,1.4,exploit,5,doing_nothing,1.6721640825271606,tensor(-0.0004),tensor(1.6718),0.98018664,2.6747446,0.10826353,0.108606875,3.5,1.4,0.6757757067680359,0.009927446,1.1502252,3.194963,0.0848566,0.11960803,3.5925632,1.4144616,0.44292673,0.30898625
0.98018664,2.6747446,0.10826353,0.108606875,3.5,1.4,exploit,5,doing_nothing,1.4472672939300537,tensor(-0.0004),tensor(1.4468),0.8811773,2.4410074,0.10739742,0.108661175,3.5,1.4,0.4578278660774231,0.0099662375,1.387943,3.1923413,0.08713883,0.08993305,3.4427242,1.2632431,0.20040686,0.8440583
0.8811773,2.4410074,0.10739742,0.108661175,3.5,1.4,explore,9,going_to_resource_1,1.231025218963623,tensor(-0.0004),tensor(1.2306),1.7894311,4.224417,0.10761243,0.10871551,3.5,1.5,2.360557794570923,0.009933782,1.2713879,3.209183,0.1419599,0.13765043,3.4217825,1.354392,5.5221543,132.84059
1.7894311,4.224417,0.10761243,0.10871551,3.5,1.5,exploit,5,doing_nothing,3.0539193153381348,tensor(-0.0004),tensor(3.0535),1.6499596,3.9131963,0.10675153,0.10876987,3.5,1.5,2.0208332538604736,0.009887655,1.9883367,4.595639,-0.0045000315,-0.039075278,3.7896411,1.5041605,4.043216,0.69837177
